algorithm,group,config,wP,wE,wB,population,mutationRate,seed,bestFitness,generationsRun,meanRank,workloadVariance,pctUnallocated,runtimeMs
ga,default,default,0.5,0.3,0.2,100,0.02,1,0.7851063005374208,123,1.446,5.609375,0,318
ga,default,default,0.5,0.3,0.2,100,0.02,2,0.7896015546558236,182,1.42,7.484375,0,549
ga,default,default,0.5,0.3,0.2,100,0.02,3,0.7849173723367956,168,1.428,7.109375,0,476
ga,default,default,0.5,0.3,0.2,100,0.02,4,0.783960099802625,156,1.444,6.859375,0,379
ga,default,default,0.5,0.3,0.2,100,0.02,5,0.7830538908289311,153,1.42,7.671875,0,443
ga,default,default,0.5,0.3,0.2,100,0.02,6,0.7866723886342762,299,1.448,6.234375,0,762
ga,default,default,0.5,0.3,0.2,100,0.02,7,0.7868201151277417,123,1.394,6.984375,0,318
ga,default,default,0.5,0.3,0.2,100,0.02,8,0.7902026182448829,147,1.4,6.359375,0,366
ga,default,default,0.5,0.3,0.2,100,0.02,9,0.7892794452746015,204,1.406,7.859375,0,565
ga,default,default,0.5,0.3,0.2,100,0.02,10,0.7797975626487798,80,1.408,7.921875,0,213
ga,default,default,0.5,0.3,0.2,100,0.02,11,0.7872341716458474,131,1.428,8.421875,0,324
ga,default,default,0.5,0.3,0.2,100,0.02,12,0.7875644552883281,152,1.424,5.796875,0,382
ga,default,default,0.5,0.3,0.2,100,0.02,13,0.7893162942205539,171,1.424,6.609375,0,424
ga,default,default,0.5,0.3,0.2,100,0.02,14,0.7838183155223502,131,1.418,7.359375,0,395
ga,default,default,0.5,0.3,0.2,100,0.02,15,0.7907288211688335,137,1.39,6.546875,0,380
ga,default,default,0.5,0.3,0.2,100,0.02,16,0.78426679844885,127,1.44,7.859375,0,332
ga,default,default,0.5,0.3,0.2,100,0.02,17,0.7867377476641334,127,1.436,8.296875,0,420
ga,default,default,0.5,0.3,0.2,100,0.02,18,0.784620339217796,119,1.4,5.609375,0,349
ga,default,default,0.5,0.3,0.2,100,0.02,19,0.7875174965828987,218,1.408,7.921875,0,559
ga,default,default,0.5,0.3,0.2,100,0.02,20,0.7853829656287444,111,1.37,6.921875,0,298
ga,default,default,0.5,0.3,0.2,100,0.02,21,0.7853855778226635,192,1.428,7.796875,0,540
ga,default,default,0.5,0.3,0.2,100,0.02,22,0.7859853861745734,122,1.388,5.796875,0,334
ga,default,default,0.5,0.3,0.2,100,0.02,23,0.7852998064127372,191,1.398,6.859375,0,530
ga,default,default,0.5,0.3,0.2,100,0.02,24,0.786091477760578,159,1.452,7.484375,0,567
ga,default,default,0.5,0.3,0.2,100,0.02,25,0.788487553539433,138,1.462,7.171875,0,367
ga,default,default,0.5,0.3,0.2,100,0.02,26,0.7882237301354449,135,1.378,7.171875,0,349
ga,default,default,0.5,0.3,0.2,100,0.02,27,0.7870108321755004,107,1.358,7.609375,0,295
ga,default,default,0.5,0.3,0.2,100,0.02,28,0.7866579253300113,138,1.394,6.359375,0,360
ga,default,default,0.5,0.3,0.2,100,0.02,29,0.782824238506177,125,1.378,7.921875,0,314
ga,default,default,0.5,0.3,0.2,100,0.02,30,0.7838450844616484,130,1.422,6.921875,0,328
ga,weights,pure-preference,1,0,0,100,0.02,1,0.9672000000000013,149,1.164,8.734375,0,390
ga,weights,pure-preference,1,0,0,100,0.02,2,0.9688000000000011,236,1.156,7.046875,0,578
ga,weights,pure-preference,1,0,0,100,0.02,3,0.9656000000000015,148,1.172,8.609375,0,389
ga,weights,pure-preference,1,0,0,100,0.02,4,0.9680000000000011,227,1.16,6.734375,0,560
ga,weights,pure-preference,1,0,0,100,0.02,5,0.9676000000000011,268,1.162,8.359375,0,674
ga,weights,pure-preference,1,0,0,100,0.02,6,0.968000000000001,135,1.16,8.734375,0,338
ga,weights,pure-preference,1,0,0,100,0.02,7,0.969200000000001,167,1.154,9.921875,0,424
ga,weights,pure-preference,1,0,0,100,0.02,8,0.9684000000000009,232,1.158,7.609375,0,582
