group,label,wP,wE,wB,population,mutationRate,seed,bestFitness,generationsRun,meanAssignedRank,workloadVariance,pctUnallocated,runtimeMs
weights,pure-preference,1,0,0,100,0.02,1,0.9672,149,1.164,8.73,0,390
weights,pure-preference,1,0,0,100,0.02,2,0.9688,236,1.156,7.05,0,630
weights,pure-preference,1,0,0,100,0.02,3,0.9656,148,1.172,8.61,0,425
weights,pure-expertise,0,1,0,100,0.02,1,0.6609,263,2.632,12.05,0,813
weights,pure-expertise,0,1,0,100,0.02,2,0.655,171,2.726,9.98,0,535
weights,pure-expertise,0,1,0,100,0.02,3,0.6527,143,2.678,11.92,0,440
weights,pure-balance,0,0,1,100,0.02,1,0.8987,169,2.076,6.86,0,486
weights,pure-balance,0,0,1,100,0.02,2,0.8952,219,2.096,7.55,0,614
weights,pure-balance,0,0,1,100,0.02,3,0.9152,197,2.2,7.92,0,602
weights,default (0.5/0.3/0.2),0.5,0.3,0.2,100,0.02,1,0.7851,123,1.446,5.61,0,345
weights,default (0.5/0.3/0.2),0.5,0.3,0.2,100,0.02,2,0.7896,182,1.42,7.48,0,486
weights,default (0.5/0.3/0.2),0.5,0.3,0.2,100,0.02,3,0.7849,168,1.428,7.11,0,442
weights,equal (1/3 each),0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,1,0.7648,100,1.652,7.23,0,279
weights,equal (1/3 each),0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,2,0.7627,119,1.636,7.73,0,330
weights,equal (1/3 each),0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,3,0.7647,220,1.61,8.48,0,584
population,population 50,0.5,0.3,0.2,50,0.02,1,0.7833,119,1.404,7.23,0,149
population,population 50,0.5,0.3,0.2,50,0.02,2,0.7756,142,1.478,7.55,0,193
population,population 50,0.5,0.3,0.2,50,0.02,3,0.7836,251,1.432,6.05,0,325
population,population 200,0.5,0.3,0.2,200,0.02,1,0.7906,139,1.398,6.42,0,801
population,population 200,0.5,0.3,0.2,200,0.02,2,0.7928,126,1.386,6.92,0,728
population,population 200,0.5,0.3,0.2,200,0.02,3,0.7895,170,1.372,7.23,0,957
mutation,mutation 0.005,0.5,0.3,0.2,100,0.005,1,0.8049,177,1.302,7.11,0,338
mutation,mutation 0.005,0.5,0.3,0.2,100,0.005,2,0.8036,246,1.314,6.3,0,448
mutation,mutation 0.005,0.5,0.3,0.2,100,0.005,3,0.8046,169,1.318,6.42,0,324
mutation,mutation 0.05,0.5,0.3,0.2,100,0.05,1,0.7582,137,1.622,6.3,0,463
mutation,mutation 0.05,0.5,0.3,0.2,100,0.05,2,0.7576,106,1.526,6.67,0,366
mutation,mutation 0.05,0.5,0.3,0.2,100,0.05,3,0.7559,81,1.534,5.8,0,282
baseline,greedy,0,0,0,0,0,,,,1.205,7.31,0.4,0
