phase,scenario,class,connections,duration_s,requests_per_s,latency_avg_ms,latency_p50_ms,latency_p90_ms,latency_p97_5_ms,latency_p99_ms,latency_max_ms,non_2xx,target_p95_ms,pass
interactive,GET /research-areas,crud-read,10,10,11303,0.25,0,1,2,3,666,0,500,PASS
interactive,GET /admin/users?page=1,crud-read,10,10,282,34.97,24,59,132,213,1715,0,500,PASS
interactive,GET /students/:id/tasks,crud-read,10,10,3214,2.6,1,5,8,13,1311,0,500,PASS
interactive,GET /meetings?studentId,crud-read,10,10,5593,1.21,0,2,7,14,1126,0,500,PASS
interactive,GET /supervisors/:id/applicants,crud-read,10,10,808,11.87,12,14,17,18,26,0,500,PASS
interactive,PATCH /tasks/:id,crud-write,10,10,1037,8.99,2,7,76,173,2460,0,500,PASS
interactive,GET /admin/cohort-overview,aggregate,10,10,743,12.95,10,22,37,52,572,0,2000,PASS
interactive,GET /supervisors/:id/cohort,aggregate,10,10,709,13.61,10,22,41,62,1137,0,2000,PASS
interactive,GET /allocation-runs/benchmarks,aggregate,10,10,28,347.8,287,638,930,1016,2417,0,2000,PASS
300-concurrent,GET /research-areas @300,crud-read,300,15,3150,94.51,87,131,167,197,758,0,500,PASS
300-concurrent,GET /students/:id/tasks @300,crud-read,300,15,4594,64.87,36,139,198,272,1310,0,500,PASS
300-concurrent,GET /admin/cohort-overview @300,aggregate,300,15,2631,113.08,112,124,137,178,220,0,2000,PASS
