student_id,area_id,rank
1,3,1
1,10,2
1,4,3
2,4,1
2,10,2
3,6,1
3,3,2
4,3,1
4,4,2
4,6,3
5,12,1
5,8,2
6,3,1
7,8,1
7,7,2
7,10,3
8,2,1
9,4,1
9,10,2
10,7,1
10,2,2
11,1,1
11,4,2
12,1,1
12,4,2
13,3,1
13,11,2
13,4,3
14,2,1
14,5,2
14,7,3
15,11,1
15,1,2
15,3,3
16,1,1
17,2,1
17,9,2
17,8,3
18,3,1
18,6,2
19,9,1
20,6,1
20,8,2
20,12,3
21,3,1
21,10,2
21,4,3
22,3,1
23,2,1
24,12,1
25,9,1
25,7,2
26,2,1
26,1,2
26,11,3
27,4,1
28,8,1
28,11,2
28,3,3
29,9,1
29,2,2
30,4,1
30,12,2
31,3,1
31,6,2
32,7,1
32,3,2
32,6,3
33,1,1
34,5,1
35,4,1
36,3,1
36,11,2
37,12,1
37,4,2
38,9,1
38,3,2
39,9,1
40,6,1
40,3,2
41,1,1
42,10,1
42,5,2
43,7,1
44,1,1
44,10,2
45,2,1
45,8,2
46,2,1
46,1,2
47,12,1
48,2,1
48,9,2
49,4,1
49,6,2
50,3,1
50,2,2
51,12,1
51,5,2
51,1,3
52,6,1
52,3,2
53,4,1
53,3,2
54,4,1
54,3,2
54,10,3
55,6,1
55,1,2
56,6,1
56,11,2
57,4,1
57,7,2
58,4,1
58,11,2
59,2,1
59,3,2
59,10,3
60,5,1
60,12,2
61,4,1
61,7,2
62,5,1
63,7,1
63,2,2
64,9,1
64,5,2
65,4,1
66,2,1
67,6,1
67,4,2
68,3,1
68,6,2
69,8,1
69,3,2
69,11,3
70,9,1
70,6,2
71,2,1
72,4,1
72,2,2
73,8,1
73,2,2
73,7,3
74,2,1
74,1,2
75,6,1
76,1,1
76,9,2
77,1,1
78,10,1
78,6,2
79,10,1
79,6,2
80,2,1
80,8,2
80,1,3
81,4,1
81,6,2
82,3,1
83,9,1
83,2,2
83,7,3
84,3,1
84,7,2
84,11,3
85,1,1
86,9,1
86,8,2
87,1,1
88,1,1
88,4,2
89,2,1
89,1,2
90,2,1
91,12,1
91,6,2
92,3,1
92,8,2
92,11,3
93,11,1
94,3,1
95,3,1
95,9,2
96,3,1
96,4,2
97,4,1
98,11,1
98,8,2
98,2,3
99,5,1
100,4,1
100,6,2
100,1,3
101,3,1
101,7,2
102,8,1
103,9,1
103,2,2
104,6,1
104,1,2
105,9,1
105,2,2
105,4,3
106,1,1
107,8,1
108,3,1
108,6,2
109,9,1
109,7,2
110,3,1
110,11,2
111,3,1
111,6,2
112,1,1
112,3,2
113,6,1
113,2,2
114,4,1
114,8,2
115,4,1
116,11,1
116,3,2
117,4,1
118,2,1
118,11,2
118,6,3
119,11,1
120,6,1
120,5,2
121,4,1
121,3,2
122,4,1
123,12,1
123,1,2
124,8,1
124,1,2
124,2,3
125,8,1
125,4,2
126,1,1
126,3,2
127,1,1
127,10,2
127,4,3
128,9,1
128,5,2
129,10,1
129,11,2
130,5,1
130,4,2
130,6,3
131,4,1
131,3,2
131,6,3
132,2,1
132,9,2
133,6,1
133,9,2
134,6,1
134,10,2
134,8,3
135,12,1
135,6,2
136,3,1
136,4,2
136,11,3
137,11,1
137,6,2
137,7,3
138,6,1
138,11,2
138,3,3
139,12,1
139,2,2
140,9,1
140,1,2
141,3,1
141,6,2
141,8,3
142,7,1
142,4,2
143,10,1
143,11,2
143,8,3
144,6,1
144,7,2
145,2,1
145,8,2
146,3,1
146,4,2
147,6,1
147,10,2
147,11,3
148,7,1
148,11,2
148,3,3
149,1,1
150,8,1
151,1,1
151,11,2
152,1,1
152,2,2
153,1,1
153,4,2
154,2,1
154,1,2
155,10,1
156,6,1
156,7,2
156,11,3
157,7,1
157,8,2
158,12,1
158,11,2
158,6,3
159,6,1
159,4,2
160,7,1
160,11,2
161,1,1
162,3,1
162,11,2
162,7,3
163,3,1
163,4,2
164,11,1
164,4,2
165,4,1
165,11,2
165,10,3
166,3,1
166,12,2
167,4,1
167,7,2
168,1,1
168,2,2
168,10,3
169,2,1
169,1,2
170,6,1
170,4,2
171,3,1
172,4,1
172,8,2
172,9,3
173,3,1
173,6,2
173,11,3
174,4,1
174,9,2
175,8,1
176,3,1
177,4,1
177,6,2
177,3,3
178,12,1
178,6,2
179,4,1
179,9,2
180,1,1
180,6,2
181,2,1
181,4,2
182,3,1
182,4,2
183,2,1
184,6,1
184,8,2
185,2,1
185,1,2
186,1,1
186,6,2
187,2,1
187,8,2
187,1,3
188,9,1
188,3,2
188,11,3
189,1,1
190,1,1
191,4,1
191,11,2
191,6,3
192,3,1
192,4,2
192,6,3
193,11,1
194,3,1
194,1,2
195,4,1
195,12,2
196,3,1
196,2,2
197,9,1
197,11,2
198,11,1
198,10,2
199,10,1
199,2,2
200,8,1
200,3,2
201,4,1
202,3,1
202,6,2
203,9,1
203,2,2
203,5,3
204,4,1
205,6,1
205,8,2
206,9,1
206,2,2
206,7,3
207,2,1
207,8,2
208,3,1
208,11,2
209,8,1
210,10,1
210,3,2
210,11,3
211,12,1
212,4,1
212,12,2
212,3,3
213,12,1
213,9,2
213,1,3
214,4,1
214,3,2
215,10,1
215,4,2
216,8,1
216,1,2
217,1,1
217,3,2
218,1,1
218,2,2
219,10,1
219,12,2
220,1,1
220,6,2
221,1,1
221,2,2
221,6,3
222,9,1
223,6,1
