student_id,supervisor_id,rank
1,2,1
1,20,2
1,17,3
1,13,4
1,11,5
2,1,1
2,32,2
2,31,3
2,11,4
2,29,5
3,30,1
3,20,2
3,29,3
3,18,4
3,25,5
4,18,1
4,17,2
4,3,3
4,2,4
4,16,5
5,14,1
5,19,2
5,2,3
5,22,4
5,5,5
6,21,1
6,18,2
6,13,3
6,5,4
6,12,5
7,28,1
7,4,2
7,2,3
7,3,4
7,22,5
8,17,1
8,28,2
8,6,3
8,30,4
8,16,5
9,28,1
9,11,2
9,7,3
9,15,4
9,6,5
10,19,1
10,17,2
10,10,3
10,12,4
10,32,5
11,19,1
11,9,2
11,23,3
11,28,4
11,13,5
12,13,1
12,15,2
12,29,3
12,18,4
12,31,5
13,9,1
13,12,2
13,7,3
13,13,4
13,5,5
14,1,1
14,30,2
14,28,3
14,9,4
14,16,5
15,14,1
15,19,2
15,15,3
15,31,4
15,1,5
16,22,1
16,4,2
16,26,3
16,31,4
16,11,5
17,21,1
17,28,2
17,19,3
17,15,4
17,18,5
18,13,1
18,1,2
18,7,3
18,3,4
18,25,5
19,18,1
19,10,2
19,23,3
19,7,4
19,27,5
20,15,1
20,10,2
20,20,3
20,1,4
20,3,5
21,1,1
21,24,2
21,31,3
21,25,4
21,11,5
22,24,1
22,3,2
22,13,3
22,18,4
22,17,5
23,32,1
23,16,2
23,19,3
23,17,4
23,3,5
24,7,1
24,31,2
24,22,3
24,24,4
24,15,5
25,13,1
25,23,2
25,3,3
25,4,4
25,6,5
26,11,1
26,27,2
26,29,3
26,13,4
26,21,5
27,18,1
27,3,2
27,29,3
27,11,4
27,7,5
28,10,1
28,26,2
28,27,3
28,9,4
28,19,5
29,10,1
29,3,2
29,19,3
29,29,4
29,17,5
30,3,1
30,7,2
30,10,3
30,27,4
30,29,5
31,13,1
31,17,2
31,18,3
31,4,4
31,30,5
32,14,1
32,5,2
32,32,3
32,20,4
32,17,5
33,4,1
33,29,2
33,31,3
33,16,4
33,20,5
34,21,1
34,24,2
34,26,3
34,4,4
34,30,5
35,18,1
35,3,2
35,14,3
35,5,4
35,12,5
36,11,1
36,20,2
36,9,3
36,6,4
36,19,5
37,6,1
37,24,2
37,29,3
37,3,4
37,11,5
38,3,1
38,9,2
38,10,3
38,13,4
38,30,5
39,10,1
39,15,2
39,3,3
39,5,4
39,20,5
40,17,1
40,22,2
40,24,3
40,13,4
