supervisor_id,area_id,proficiency
1,11,3
1,6,1
1,9,1
1,4,2
2,8,3
2,10,2
3,9,3
3,4,2
3,3,2
4,11,3
4,5,2
4,1,2
5,10,3
5,12,1
5,7,2
6,5,3
6,10,2
6,11,1
7,12,3
7,4,2
7,8,2
8,7,3
8,11,2
8,1,1
9,11,3
9,6,1
9,5,2
10,9,3
10,2,1
10,4,2
11,10,3
11,4,2
11,3,2
12,3,3
12,7,1
13,3,3
13,1,1
13,6,2
14,7,3
14,4,2
14,11,1
14,9,1
15,4,3
15,6,2
15,9,2
16,2,3
16,4,2
16,6,1
17,3,3
17,2,2
18,4,3
18,8,1
18,3,2
19,2,3
19,11,2
19,4,2
19,3,1
20,5,3
20,6,2
20,1,2
21,5,3
21,2,2
21,1,2
22,12,3
22,1,1
22,6,2
23,4,3
23,9,1
23,6,2
24,3,3
24,12,2
24,2,1
25,6,3
25,2,2
26,1,3
26,11,1
26,5,2
27,11,3
27,12,2
27,2,2
28,2,3
28,1,1
29,12,3
29,4,2
30,5,3
30,1,1
30,2,2
31,1,3
31,2,1
31,4,2
32,2,3
32,5,1
32,3,1
