supervisor_id,student_id,score
2,1,0.3994
20,1,0.1878
17,1,0.5227
13,1,0.5285
11,1,0.7704
1,2,0.4774
32,2,0.1847
31,2,0.4807
11,2,0.7082
29,2,0.4272
30,3,0.2201
20,3,0.5268
29,3,0.1465
18,3,0.3196
25,3,0.568
18,4,0.7365
17,4,0.6603
3,4,0.6797
2,4,0.2672
16,4,0.4873
14,5,0.1401
19,5,0.149
2,5,0.4295
22,5,0.6341
5,5,0.3253
21,6,0.1779
18,6,0.6716
13,6,0.8351
5,6,0.1974
12,6,0.8638
28,7,0.2687
4,7,0.207
2,7,0.6736
3,7,0.1987
22,7,0.2816
17,8,0.6668
28,8,0.8283
6,8,0.2127
30,8,0.6356
16,8,0.8599
28,9,0.1509
11,9,0.6953
7,9,0.4393
15,9,0.6036
6,9,0.3012
19,10,0.3614
17,10,0.3231
10,10,0.1947
12,10,0.2618
32,10,0.3514
19,11,0.3233
9,11,0.1137
23,11,0.3482
28,11,0.2565
13,11,0.3051
13,12,0.2724
15,12,0.3544
29,12,0.3097
18,12,0.3507
31,12,0.7175
9,13,0.3945
12,13,0.5402
7,13,0.2516
13,13,0.5336
5,13,0.1882
1,14,0.1442
30,14,0.6498
28,14,0.5498
9,14,0.3171
16,14,0.5482
14,15,0.2822
19,15,0.4261
15,15,0.1851
31,15,0.3183
1,15,0.5165
22,16,0.5118
4,16,0.642
26,16,0.8504
31,16,0.8472
11,16,0.1822
21,17,0.3383
28,17,0.4245
19,17,0.4181
15,17,0.2173
18,17,0.1401
13,18,0.7503
1,18,0.2704
7,18,0.229
3,18,0.5297
25,18,0.4677
18,19,0.1046
10,19,0.762
23,19,0.4412
7,19,0.1282
27,19,0.1687
15,20,0.3846
10,20,0.2042
20,20,0.4451
1,20,0.2609
3,20,0.2234
1,21,0.2834
24,21,0.4764
31,21,0.2693
25,21,0.1861
11,21,0.6565
24,22,0.8812
3,22,0.6016
13,22,0.8176
18,22,0.6218
17,22,0.851
32,23,0.8377
16,23,0.8012
19,23,0.7755
17,23,0.5709
3,23,0.1455
